Code,Code Type,Description,All Years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CPT-00102,CPT,Anesthesia for procedures involving plastic repair of cleft lip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00160,CPT,Anesthesia for procedures on nose and accessory sinuses; not otherwise specified,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00170,CPT,Anesthesia for intraoral procedures  including biopsy; not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00210,CPT,Anesthesia for intracranial procedures; not otherwise specified,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00215,CPT,Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture  extradural (simple or compound),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00216,CPT,Anesthesia for intracranial procedures; vascular procedures,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00222,CPT,Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00300,CPT,Anesthesia for all procedures on the integumentary system  muscles and nerves of head  neck  and posterior trunk  not otherwise specified,2062,384,181,226,192,202,155,147,114,99,111,124,127 
CPT-00320,CPT,Anesthesia for all procedures on esophagus  thyroid  larynx  trachea and lymphatic system of neck; not otherwise specified  age 1 year or older,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00350,CPT,Anesthesia for procedures on major vessels of neck; not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00400,CPT,Anesthesia for procedures on the integumentary system on the extremities  anterior trunk and perineum; not otherwise specified,870,101,72,50,63,42,58,31,54,48,72,147,132 
CPT-00402,CPT,Anesthesia for procedures on the integumentary system on the extremities  anterior trunk and perineum; reconstructive procedures on breast (eg  reduction or augmentation mammoplasty  muscle flaps),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00520,CPT,Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00529,CPT,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing one lung ventilation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00530,CPT,Anesthesia for permanent transvenous pacemaker insertion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00540,CPT,Anesthesia for thoracotomy procedures involving lungs  pleura  diaphragm  and mediastinum (including surgical thoracoscopy); not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00541,CPT,Anesthesia for thoracotomy procedures involving lungs  pleura  diaphragm  and mediastinum (including surgical thoracoscopy); utilizing one lung ventilation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00560,CPT,Anesthesia for procedures on heart  pericardial sac  and great vessels of chest; without pump oxygenator,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00600,CPT,Anesthesia for procedures on cervical spine and cord; not otherwise specified,483,-1,-1,-1,22,274,149,-1,-1,-1,-1,-1,-1 
CPT-00620,CPT,Anesthesia for procedures on thoracic spine and cord; not otherwise specified,112,-1,12,24,23,28,17,-1,-1,-1,-1,-1,-1 
CPT-00630,CPT,Anesthesia for procedures in lumbar region; not otherwise specified,2827,60,31,34,465,1519,646,11,-1,15,-1,-1,16 
CPT-00632,CPT,Anesthesia for procedures in lumbar region; lumbar sympathectomy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00640,CPT,Anesthesia for manipulation of the spine or for closed procedures on the cervical  thoracic or lumbar spine,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00670,CPT,Anesthesia for extensive spine and spinal cord procedures (eg  spinal instrumentation or vascular procedures),142,-1,-1,-1,-1,80,53,-1,-1,-1,-1,-1,-1 
CPT-00700,CPT,Anesthesia for procedures on upper anterior abdominal wall; not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00730,CPT,Anesthesia for procedures on upper posterior abdominal wall,13,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00740,CPT,Anesthesia for upper gastrointestinal endoscopic procedures  endoscope introduced proximal to duodenum,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00752,CPT,Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00790,CPT,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise specified,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00820,CPT,Anesthesia for procedures on lower posterior abdominal wall,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00830,CPT,Anesthesia for hernia repairs in lower abdomen; not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00860,CPT,Anesthesia for extraperitoneal procedures in lower abdomen  including urinary tract; not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00902,CPT,Anesthesia for; anorectal procedure,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00910,CPT,Anesthesia for transurethral procedures (including urethrocystoscopy); not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0092T,CPT,Total disc arthroplasty (artificial disc)  anterior approach  including discectomy to prepare interspace (other than for decompression) cervical; each additional interspace (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-00952,CPT,Anesthesia for vaginal procedures (including biopsy of labia  vagina  cervix or endometrium); hysteroscopy and/or hysterosalpingography,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01160,CPT,Anesthesia for closed procedures involving symphysis pubis or sacroiliac joint,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01200,CPT,Anesthesia for all closed procedures involving hip joint,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01202,CPT,Anesthesia for arthroscopic procedures of hip joint,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01232,CPT,Anesthesia for open procedures involving upper two-thirds of femur; amputation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01250,CPT,Anesthesia for all procedures on nerves  muscles  tendons  fascia  and bursae of upper leg,62,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,11 
CPT-01320,CPT,Anesthesia for all procedures on nerves  muscles  tendons  fascia  and bursae of knee and/or popliteal area,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01380,CPT,Anesthesia for all closed procedures on knee joint,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01392,CPT,Anesthesia for all open procedures on upper ends of tibia  fibula  and/or patella,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01400,CPT,Anesthesia for open or surgical arthroscopic procedures on knee joint; not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01462,CPT,Anesthesia for all closed procedures on lower leg  ankle  and foot,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01470,CPT,Anesthesia for procedures on nerves  muscles  tendons  and fascia of lower leg  ankle  and foot; not otherwise specified,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1 
CPT-01474,CPT,Anesthesia for procedures on nerves  muscles  tendons  and fascia of lower leg  ankle  and foot; gastrocnemius recession (eg  Strayer procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01480,CPT,Anesthesia for open procedures on bones of lower leg  ankle  and foot; not otherwise specified,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01610,CPT,Anesthesia for all procedures on nerves  muscles  tendons  fascia  and bursae of shoulder and axilla,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01620,CPT,Anesthesia for all closed procedures on humeral head and neck  sternoclavicular joint  acromioclavicular joint  and shoulder joint,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01622,CPT,Anesthesia for diagnostic arthroscopic procedures of shoulder joint,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01630,CPT,Anesthesia for open or surgical arthroscopic procedures on humeral head and neck  sternoclavicular joint  acromioclavicular joint  and shoulder joint; not otherwise specified,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01710,CPT,Anesthesia for procedures on nerves  muscles  tendons  fascia  and bursae of upper arm and elbow; not otherwise specified,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01770,CPT,Anesthesia for procedures on arteries of upper arm and elbow; not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01810,CPT,Anesthesia for all procedures on nerves  muscles  tendons  fascia  and bursae of forearm  wrist  and hand,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01922,CPT,Anesthesia for non-invasive imaging or radiation therapy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01924,CPT,Anesthesia for therapeutic interventional radiologic procedures involving the arterial system; not otherwise specified,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01935,CPT,ANESTHESIA PERQ IMAGE GUIDED SPINE DIAGNOSTIC,27,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01936,CPT,ANESTHESIA PERQ IMAGE GUIDED SPINE THERAPEUTIC,815,19,86,107,107,92,77,72,81,43,41,39,51 
CPT-01991,CPT,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different provider); other than the prone position,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-01992,CPT,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different provider); prone position,540,11,26,43,90,186,78,-1,-1,-1,23,27,36 
CPT-01999,CPT,Unlisted anesthesia procedure(s),46,12,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0232T,CPT,NJX PLTLT PLASMA W/IMG HARVEST/PREPARATION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0268T,CPT,IM/REPL CARTD SINS BARREFLX ACT DEV PLS GEN ONLY,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0282T,CPT,PERC/OPEN IMPLNT NEUROSTIM ELECTRODE SUBQ TRIAL,120,-1,-1,96,13,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0283T,CPT,PERC/OPEN IMPLNT NEUROSTIM ELECTRODE SUBQ PERM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
