Code,Code Type,Description,Number of Patients
ICD-10-D-G5701,ICD-10-D,Lesion of sciatic nerve  right lower limb,11
ICD-10-D-G5773,ICD-10-D,Causalgia of bilateral lower limbs,11
ICD-10-D-G90513,ICD-10-D,Complex regional pain syndrome I of upper limb  bilateral,11
ICD-10-D-H9190,ICD-10-D,Unspecified hearing loss  unspecified ear,11
ICD-10-D-K449,ICD-10-D,Diaphragmatic hernia without obstruction or gangrene,11
ICD-10-D-K5090,ICD-10-D,Crohn's disease  unspecified  without complications,11
ICD-10-D-M19071,ICD-10-D,Primary osteoarthritis  right ankle and foot,11
ICD-10-D-M47897,ICD-10-D,Other spondylosis  lumbosacral region,11
ICD-10-D-M4800,ICD-10-D,Spinal stenosis  site unspecified,11
ICD-10-D-M79652,ICD-10-D,Pain in left thigh,11
ICD-10-D-M79673,ICD-10-D,Pain in unspecified foot,11
ICD-10-D-R0789,ICD-10-D,Other chest pain,11
ICD-10-D-R079,ICD-10-D,Chest pain  unspecified,11
ICD-10-D-R633,ICD-10-D,Feeding difficulties,11
ICD-10-D-R9431,ICD-10-D,Abnormal electrocardiogram [ECG] [EKG],11
ICD-10-D-T8484XA,ICD-10-D,Pain due to internal orthopedic prosthetic devices  implants and grafts  initial encounter,11
ICD-10-D-Z0000,ICD-10-D,Encounter for general adult medical examination without abnormal findings,11
ICD-10-D-Z6830,ICD-10-D,Body mass index [BMI]30.0-30.9  adult,11
ICD-10-D-Z6833,ICD-10-D,Body mass index [BMI] 33.0-33.9  adult,11
ICD-10-D-Z6837,ICD-10-D,Body mass index [BMI] 37.0-37.9  adult,11
ICD-10-D-Z8546,ICD-10-D,Personal history of malignant neoplasm of prostate,11
ICD-10-D-Z87442,ICD-10-D,Personal history of urinary calculi,11
ICD-10-D-Z886,ICD-10-D,Allergy status to analgesic agent,11
ICD-10-D-Z91018,ICD-10-D,Allergy to other foods,11
ICD-10-D-Z96641,ICD-10-D,Presence of right artificial hip joint,11
ICD-9-D-042,ICD-9-D,Human immunodeficiency virus [HIV] disease,11
ICD-9-D-2400,ICD-9-D,Goiter  specified as simple,11
ICD-9-D-30001,ICD-9-D,Panic disorder without agoraphobia,11
ICD-9-D-30981,ICD-9-D,Posttraumatic stress disorder,11
ICD-9-D-33700,ICD-9-D,Idiopathic peripheral autonomic neuropathy  unspecified,11
ICD-9-D-34510,ICD-9-D,Generalized convulsive epilepsy  without mention of intractable epilepsy,11
ICD-9-D-34673,ICD-9-D,Chronic migraine without aura  with intractable migraine  so stated  with status migrainosus,11
ICD-9-D-4414,ICD-9-D,Abdominal aneurysm without mention of rupture,11
ICD-9-D-7100,ICD-9-D,Systemic lupus erythematosus,11
ICD-9-D-72705,ICD-9-D,Other tenosynovitis of hand and wrist,11
ICD-9-D-73710,ICD-9-D,Kyphosis (acquired) (postural),11
